Year,State,District,target_yield,Area,Production,yield_calculated,ndvi,rainfall,temperature
1976,CHHATTISGARH,BASTAR,644.26,90453.54513,207673.2601,644.26,0.202289468,14.27571088,24.53692413
1977,CHHATTISGARH,BASTAR,909.17,90453.54513,207673.2601,909.17,0.201390751,1.60792865,24.63003571
1978,CHHATTISGARH,BASTAR,820.15,90453.54513,207673.2601,820.15,0.221478076,13.11129455,24.39424348
1979,CHHATTISGARH,BASTAR,621.51,90453.54513,207673.2601,621.51,0.226915218,6.966380926,24.82830587
1980,CHHATTISGARH,BASTAR,754.33,90453.54513,207673.2601,754.33,0.212632716,12.41640377,24.82175618
1981,CHHATTISGARH,BASTAR,743.65,90453.54513,207673.2601,743.65,0.223388146,15.46997115,24.40776102
1982,CHHATTISGARH,BASTAR,705.7,90453.54513,207673.2601,705.7,0.216969178,0.298106152,24.47642735
1983,CHHATTISGARH,BASTAR,758.36,90453.54513,207673.2601,758.36,0.20690162,12.34000171,24.78114267
1984,CHHATTISGARH,BASTAR,741.66,90453.54513,207673.2601,741.66,0.216966773,-1.083376917,23.55913386
1985,CHHATTISGARH,BASTAR,1502.16,90453.54513,207673.2601,1502.16,0.228733183,0.725220829,24.00975087
1986,CHHATTISGARH,BASTAR,724.82,90453.54513,207673.2601,724.82,0.212994557,1.944095306,25.56549566
1987,CHHATTISGARH,BASTAR,688.29,90453.54513,207673.2601,688.29,0.228999254,8.479325786,24.89441008
1988,CHHATTISGARH,BASTAR,965.78,90453.54513,207673.2601,965.78,0.187155366,6.12622199,24.46804511
1989,CHHATTISGARH,BASTAR,952.77,90453.54513,207673.2601,952.77,0.221571842,5.125462184,23.88245819
1990,CHHATTISGARH,BASTAR,970.47,90453.54513,207673.2601,970.47,0.214223288,6.692319,24.70234153
1991,CHHATTISGARH,BASTAR,1072.13,90453.54513,207673.2601,1072.13,0.210362744,8.917590551,25.22309565
1992,CHHATTISGARH,BASTAR,912.56,90453.54513,207673.2601,912.56,0.214270425,9.302383225,26.05010266
1993,CHHATTISGARH,BASTAR,997.36,90453.54513,207673.2601,997.36,0.193477128,11.43197678,25.67652782
1994,CHHATTISGARH,BASTAR,990.33,90453.54513,207673.2601,990.33,0.211156098,15.06131667,24.2870306
1995,CHHATTISGARH,BASTAR,951.7,90453.54513,207673.2601,951.7,0.216923943,5.854330743,24.48259984
1996,CHHATTISGARH,BASTAR,1040.99,90453.54513,207673.2601,1040.99,0.228131758,3.355697794,23.99474999
1997,CHHATTISGARH,BASTAR,730.57,90453.54513,207673.2601,730.57,0.208170115,9.028823251,24.30967207
1998,CHHATTISGARH,BASTAR,908.63,90453.54513,207673.2601,908.63,0.205267881,0.239868524,24.62407803
1999,CHHATTISGARH,BASTAR,1075.95,90453.54513,207673.2601,1075.95,0.208335247,2.567621944,24.54693111
2000,CHHATTISGARH,BASTAR,834.2,258336,213319,0.825742444,0.222506839,10.95804734,25.75778326
2001,CHHATTISGARH,BASTAR,1454.52,260224,385963,1.483195247,0.216640328,5.340500731,24.07282114
2002,CHHATTISGARH,BASTAR,531.14,258955,128736,0.497136568,0.208055215,-0.079819687,24.70795238
2003,CHHATTISGARH,BASTAR,1648.41,260206,439318,1.688346925,0.218485492,-1.487872722,23.69876973
2004,CHHATTISGARH,BASTAR,1241.05,260826,327311,1.254901735,0.214323593,6.204726002,24.895945
2005,CHHATTISGARH,BASTAR,1241.05,260734,349876,1.341888668,0.223039267,11.67062529,24.05964694
2006,CHHATTISGARH,BASTAR,1530.61,239805,326040,1.359604679,0.206332286,11.60387149,25.28181276
2007,CHHATTISGARH,BASTAR,1481.83,239537,345270,1.441405712,0.210076196,6.515545119,24.58498666
2008,CHHATTISGARH,BASTAR,1161.76,240340,280325,1.166368478,0.209431736,16.0056897,24.02950747
2009,CHHATTISGARH,BASTAR,1089.04,240074,278302,1.159234236,0.198717668,5.437040775,23.67914873
2010,CHHATTISGARH,BASTAR,1905.45,239376,401486,1.677219103,0.21631402,5.268304488,24.24118086
2011,CHHATTISGARH,BASTAR,1231.23,136930,145313,1.061221062,0.21596337,-6.876036944,24.85019005
2012,CHHATTISGARH,BASTAR,2103.06,137609,244700,1.778226715,0.213403952,3.724327859,24.94125643
2013,CHHATTISGARH,BASTAR,1969.4,137727,229306,1.66493135,0.211006946,10.22121778,24.48128062
2014,CHHATTISGARH,BASTAR,2129.33,132393,241480,1.823963503,0.19919911,13.78094929,25.19339813
2015,CHHATTISGARH,BASTAR,1030.87,90453.54513,207673.2601,1030.87,0.209146364,1.809969437,24.16262816
2016,CHHATTISGARH,BASTAR,1973.24,90453.54513,207673.2601,1973.24,0.209925672,8.272404251,23.26696969
2017,CHHATTISGARH,BASTAR,1214.23,90453.54513,207673.2601,1214.23,0.205330045,11.19553777,24.87177643
1966,CHHATTISGARH,RAIPUR,654.11,90453.54513,207673.2601,654.11,0.21173996,6.017183371,25.37554751
1967,CHHATTISGARH,RAIPUR,860.88,90453.54513,207673.2601,860.88,0.217393326,-5.455259683,25.38016644
1968,CHHATTISGARH,RAIPUR,861.24,90453.54513,207673.2601,861.24,0.232214676,7.197592603,24.08059499
1969,CHHATTISGARH,RAIPUR,912.95,90453.54513,207673.2601,912.95,0.215098595,9.768295725,24.45815301
1970,CHHATTISGARH,RAIPUR,1209.29,90453.54513,207673.2601,1209.29,0.215928321,1.22402813,25.09240962
1971,CHHATTISGARH,RAIPUR,929.1,90453.54513,207673.2601,929.1,0.212608358,4.690369951,24.41694655
1972,CHHATTISGARH,RAIPUR,902.64,90453.54513,207673.2601,902.64,0.194165105,0.183662394,24.78319204
1973,CHHATTISGARH,RAIPUR,867.45,90453.54513,207673.2601,867.45,0.213087679,-6.889595138,24.37227966
1974,CHHATTISGARH,RAIPUR,539.67,90453.54513,207673.2601,539.67,0.213955119,11.09616466,24.18580523
1975,CHHATTISGARH,RAIPUR,884.47,90453.54513,207673.2601,884.47,0.237985238,5.942399936,24.28231278
1976,CHHATTISGARH,RAIPUR,746.39,90453.54513,207673.2601,746.39,0.211429208,13.94951759,25.2083622
1977,CHHATTISGARH,RAIPUR,1155.27,90453.54513,207673.2601,1155.27,0.216368291,10.24775356,24.73739099
1978,CHHATTISGARH,RAIPUR,865.4,90453.54513,207673.2601,865.4,0.2130057,4.190093797,25.36644043
1979,CHHATTISGARH,RAIPUR,528.55,90453.54513,207673.2601,528.55,0.201666037,5.545239304,24.99070996
1980,CHHATTISGARH,RAIPUR,892.05,90453.54513,207673.2601,892.05,0.224781045,8.792029559,25.53373222
1981,CHHATTISGARH,RAIPUR,989.87,90453.54513,207673.2601,989.87,0.220872148,10.79555969,25.1395337
1982,CHHATTISGARH,RAIPUR,772.31,90453.54513,207673.2601,772.31,0.221263137,7.574495759,25.11017002
1983,CHHATTISGARH,RAIPUR,1232.15,90453.54513,207673.2601,1232.15,0.204258943,11.48910833,24.67025566
1984,CHHATTISGARH,RAIPUR,1149.63,90453.54513,207673.2601,1149.63,0.22738076,4.477798922,26.2351029
1985,CHHATTISGARH,RAIPUR,1587.32,90453.54513,207673.2601,1587.32,0.199334307,0.975424871,24.78684872
1986,CHHATTISGARH,RAIPUR,989,90453.54513,207673.2601,989,0.219221388,5.637096337,23.74378792
1987,CHHATTISGARH,RAIPUR,1231.14,90453.54513,207673.2601,1231.14,0.235257374,6.987067059,24.86451638
1988,CHHATTISGARH,RAIPUR,1026.81,90453.54513,207673.2601,1026.81,0.203447454,-0.046534369,24.23935349
1989,CHHATTISGARH,RAIPUR,1418.61,90453.54513,207673.2601,1418.61,0.20768984,-0.722467816,25.23901037
1990,CHHATTISGARH,RAIPUR,1363.15,90453.54513,207673.2601,1363.15,0.214349331,8.198074087,25.09340799
1991,CHHATTISGARH,RAIPUR,1427,90453.54513,207673.2601,1427,0.208318061,3.929358348,24.63474278
1992,CHHATTISGARH,RAIPUR,1609.95,90453.54513,207673.2601,1609.95,0.197846183,5.131938077,24.2865531
1993,CHHATTISGARH,RAIPUR,1598.11,90453.54513,207673.2601,1598.11,0.214038447,4.162679276,24.80371247
1994,CHHATTISGARH,RAIPUR,1448.82,90453.54513,207673.2601,1448.82,0.20272978,13.56414711,24.4098827
1995,CHHATTISGARH,RAIPUR,1447.49,90453.54513,207673.2601,1447.49,0.218088742,12.26994841,25.1244016
1996,CHHATTISGARH,RAIPUR,1683.87,90453.54513,207673.2601,1683.87,0.204158575,-0.225625845,25.00850747
1997,CHHATTISGARH,RAIPUR,1106.25,90453.54513,207673.2601,1106.25,0.228852161,3.29717654,26.1984829
1998,CHHATTISGARH,RAIPUR,712.86,90453.54513,207673.2601,712.86,0.205520284,10.21116394,24.50794234
1999,CHHATTISGARH,RAIPUR,1451.13,90453.54513,207673.2601,1451.13,0.210132202,8.97082379,24.57878679
2000,CHHATTISGARH,RAIPUR,518.81,513066,208356,0.4060998,0.221487989,5.753852793,24.65311177
2001,CHHATTISGARH,RAIPUR,1241.74,517577,616749,1.191608205,0.201044174,0.27314158,24.67500684
2002,CHHATTISGARH,RAIPUR,734.67,516328,386465,0.748487396,0.215627417,2.548442374,25.24403908
2003,CHHATTISGARH,RAIPUR,1442.52,520847,711370,1.365794562,0.226424245,3.377304767,24.59232679
2004,CHHATTISGARH,RAIPUR,1249.64,521744,626563,1.200901208,0.197277985,7.346114261,25.71669047
2005,CHHATTISGARH,RAIPUR,1249.64,518561,804924,1.552226257,0.215199156,14.47977838,25.02163716
2006,CHHATTISGARH,RAIPUR,1442.43,534394,785967,1.470763145,0.215951645,2.526741431,24.48763158
2007,CHHATTISGARH,RAIPUR,1550.53,539878,805433,1.491879647,0.221171046,0.830966367,24.35987677
2008,CHHATTISGARH,RAIPUR,1329.15,529148,691851,1.307481083,0.20098331,5.418210221,25.2509357
2009,CHHATTISGARH,RAIPUR,1407.66,521918,753589,1.443883905,0.200148251,11.11983751,24.74475968
2010,CHHATTISGARH,RAIPUR,1661.71,545965,771395,1.412901926,0.218572233,-1.273272229,24.73502963
2011,CHHATTISGARH,RAIPUR,1483.67,169099,219975,1.300865174,0.216322664,13.22931336,24.43125949
2012,CHHATTISGARH,RAIPUR,1987.25,183690,375108,2.04207088,0.215857746,5.100985794,24.69977677
2013,CHHATTISGARH,RAIPUR,1733.23,185684,314837,1.695552659,0.216817299,2.289542593,24.41102218
2014,CHHATTISGARH,RAIPUR,2055.8,186042,376312,2.022726051,0.20655257,-2.039803829,25.41135534
2015,CHHATTISGARH,RAIPUR,1431.57,90453.54513,207673.2601,1431.57,0.215675354,9.493746472,25.08902968
2016,CHHATTISGARH,RAIPUR,2410.09,90453.54513,207673.2601,2410.09,0.216283542,5.105286629,24.64311519
2017,CHHATTISGARH,RAIPUR,1585.96,90453.54513,207673.2601,1585.96,0.206209303,6.814670019,24.63576557
1966,CHHATTISGARH,BILASPUR,520.83,90453.54513,207673.2601,520.83,0.232010562,1.4570839,24.77658669
1967,CHHATTISGARH,BILASPUR,875,90453.54513,207673.2601,875,0.218091147,4.365662434,24.72772949
1968,CHHATTISGARH,BILASPUR,660.84,90453.54513,207673.2601,660.84,0.201439782,3.528236373,24.25203152
1969,CHHATTISGARH,BILASPUR,719.27,90453.54513,207673.2601,719.27,0.219918353,5.458177078,23.78011254
1970,CHHATTISGARH,BILASPUR,930.96,90453.54513,207673.2601,930.96,0.203606001,2.613380973,24.33164927
1971,CHHATTISGARH,BILASPUR,890.98,90453.54513,207673.2601,890.98,0.221223663,-1.709762199,24.66624086
1972,CHHATTISGARH,BILASPUR,840.15,90453.54513,207673.2601,840.15,0.224938773,19.60364133,24.36158301
1973,CHHATTISGARH,BILASPUR,778.19,90453.54513,207673.2601,778.19,0.205145994,-0.855878632,25.14016862
1974,CHHATTISGARH,BILASPUR,767.47,90453.54513,207673.2601,767.47,0.222986579,6.86843764,24.61592304
1975,CHHATTISGARH,BILASPUR,1008.9,90453.54513,207673.2601,1008.9,0.217480627,-2.898996537,25.6672864
1976,CHHATTISGARH,BILASPUR,660.76,90453.54513,207673.2601,660.76,0.221573419,-4.024094578,24.44975248
1977,CHHATTISGARH,BILASPUR,1066.75,90453.54513,207673.2601,1066.75,0.232320747,6.450275064,24.80085801
1978,CHHATTISGARH,BILASPUR,770.87,90453.54513,207673.2601,770.87,0.210898936,6.832980544,24.58606873
1979,CHHATTISGARH,BILASPUR,332.01,90453.54513,207673.2601,332.01,0.205815456,12.26863756,24.95038864
1980,CHHATTISGARH,BILASPUR,969.09,90453.54513,207673.2601,969.09,0.204457673,7.95887681,25.26337517
1981,CHHATTISGARH,BILASPUR,883.45,90453.54513,207673.2601,883.45,0.205194714,5.212089011,25.03464009
1982,CHHATTISGARH,BILASPUR,616.57,90453.54513,207673.2601,616.57,0.2125818,1.213141385,23.71510147
1983,CHHATTISGARH,BILASPUR,1006.04,90453.54513,207673.2601,1006.04,0.216764337,13.45620295,24.98043041
1984,CHHATTISGARH,BILASPUR,833.64,90453.54513,207673.2601,833.64,0.216119725,10.60539884,24.22506054
1985,CHHATTISGARH,BILASPUR,1376.44,90453.54513,207673.2601,1376.44,0.22162465,-0.270504784,24.57561502
1986,CHHATTISGARH,BILASPUR,1365.82,90453.54513,207673.2601,1365.82,0.213482836,6.150961246,25.0751642
1987,CHHATTISGARH,BILASPUR,1079.94,90453.54513,207673.2601,1079.94,0.227888158,6.681403763,24.17061915
1988,CHHATTISGARH,BILASPUR,1372.92,90453.54513,207673.2601,1372.92,0.210706249,4.232874322,25.30847361
1989,CHHATTISGARH,BILASPUR,1040.21,90453.54513,207673.2601,1040.21,0.240554509,9.820395034,24.55380666
1990,CHHATTISGARH,BILASPUR,1398.4,90453.54513,207673.2601,1398.4,0.219609491,10.1198083,25.81596829
1991,CHHATTISGARH,BILASPUR,1296.55,90453.54513,207673.2601,1296.55,0.204781242,5.008714116,24.76483852
1992,CHHATTISGARH,BILASPUR,1046.83,90453.54513,207673.2601,1046.83,0.202643892,4.556796376,25.58317098
1993,CHHATTISGARH,BILASPUR,1351.81,90453.54513,207673.2601,1351.81,0.218177541,13.45593492,25.32933922
1994,CHHATTISGARH,BILASPUR,1617.9,90453.54513,207673.2601,1617.9,0.211118189,10.62533707,24.42494707
1995,CHHATTISGARH,BILASPUR,1331.5,90453.54513,207673.2601,1331.5,0.220492822,6.322944554,24.07965424
1996,CHHATTISGARH,BILASPUR,1340.84,90453.54513,207673.2601,1340.84,0.218085194,-2.18490259,24.78731329
1997,CHHATTISGARH,BILASPUR,495.81,90453.54513,207673.2601,495.81,0.212624528,7.681143136,24.43917805
1998,CHHATTISGARH,BILASPUR,812.27,90453.54513,207673.2601,812.27,0.20488488,9.45155993,25.520359
1999,CHHATTISGARH,BILASPUR,1498.18,90453.54513,207673.2601,1498.18,0.198204345,-7.811465537,24.60707002
2000,CHHATTISGARH,BILASPUR,621.31,314066,195548,0.622633459,0.208887668,7.220489847,24.58029763
2001,CHHATTISGARH,BILASPUR,1422.13,319809,448855,1.403509595,0.221916805,3.877682671,24.03255038
2002,CHHATTISGARH,BILASPUR,875.59,316368,212099,0.670418626,0.215493755,4.856871204,24.94010811
2003,CHHATTISGARH,BILASPUR,1424.48,320204,505972,1.580155151,0.20089543,1.424237841,24.14338847
2004,CHHATTISGARH,BILASPUR,1228.45,321626,433960,1.349269027,0.215084627,5.220196153,24.95171806
2005,CHHATTISGARH,BILASPUR,1228.45,322411,515483,1.598838129,0.217205991,12.92110049,25.02054547
2006,CHHATTISGARH,BILASPUR,1581.33,324475,462644,1.425823253,0.204514243,3.729150111,24.35566205
2007,CHHATTISGARH,BILASPUR,1619.32,325134,469491,1.443992323,0.214890068,10.7890104,25.20878957
2008,CHHATTISGARH,BILASPUR,1428.76,323407,447099,1.382465438,0.213934905,1.929486511,24.59306189
2009,CHHATTISGARH,BILASPUR,1427.57,305253,311696,1.021107082,0.201923114,9.754923568,23.99487776
2010,CHHATTISGARH,BILASPUR,1889.83,329117,551672,1.676218488,0.216930691,5.969421883,25.50314328
2011,CHHATTISGARH,BILASPUR,2079.01,224564,412102,1.8351205,0.218960663,7.721266749,24.26876432
2012,CHHATTISGARH,BILASPUR,2337.61,219766,436557,1.986462874,0.22418333,5.996908885,24.98403488
2013,CHHATTISGARH,BILASPUR,2171.95,222487,459300,2.064390279,0.223890838,9.169268767,24.94339684
2014,CHHATTISGARH,BILASPUR,2310.43,227579,456491,2.005857307,0.199576124,-6.876782985,24.92509194
2015,CHHATTISGARH,BILASPUR,1831.92,90453.54513,207673.2601,1831.92,0.203974567,-1.137983962,24.91643057
2016,CHHATTISGARH,BILASPUR,2554.21,90453.54513,207673.2601,2554.21,0.21850317,8.046545095,24.24540579
2017,CHHATTISGARH,BILASPUR,1779.97,90453.54513,207673.2601,1779.97,0.218490677,-4.256549165,25.57617441
1966,CHHATTISGARH,RAIGARH,611.45,90453.54513,207673.2601,611.45,0.218503294,3.308240827,25.20862418
1967,CHHATTISGARH,RAIGARH,834.83,90453.54513,207673.2601,834.83,0.251880132,5.6894384,24.96802797
1968,CHHATTISGARH,RAIGARH,786.68,90453.54513,207673.2601,786.68,0.219061722,1.820441917,24.06401149
1969,CHHATTISGARH,RAIGARH,744.71,90453.54513,207673.2601,744.71,0.224708474,2.503335591,24.24131567
1970,CHHATTISGARH,RAIGARH,802.75,90453.54513,207673.2601,802.75,0.222892835,7.319053606,25.05922792
1971,CHHATTISGARH,RAIGARH,700.23,90453.54513,207673.2601,700.23,0.21986673,11.00761738,23.72865755
1972,CHHATTISGARH,RAIGARH,616.57,90453.54513,207673.2601,616.57,0.210200125,1.168895699,24.89985154
1973,CHHATTISGARH,RAIGARH,908.07,90453.54513,207673.2601,908.07,0.22094251,3.085851624,24.06491121
1974,CHHATTISGARH,RAIGARH,654.59,90453.54513,207673.2601,654.59,0.205624565,2.304837738,24.29648372
1975,CHHATTISGARH,RAIGARH,888.26,90453.54513,207673.2601,888.26,0.210984631,-6.145756154,24.0249658
1976,CHHATTISGARH,RAIGARH,563.38,90453.54513,207673.2601,563.38,0.208499182,6.669701557,24.85355282
1977,CHHATTISGARH,RAIGARH,977.01,90453.54513,207673.2601,977.01,0.214171559,10.63473133,25.28868033
1978,CHHATTISGARH,RAIGARH,810.71,90453.54513,207673.2601,810.71,0.236499403,11.04435864,24.90450837
1979,CHHATTISGARH,RAIGARH,411.98,90453.54513,207673.2601,411.98,0.194680165,1.607310723,24.95941613
1980,CHHATTISGARH,RAIGARH,903.8,90453.54513,207673.2601,903.8,0.220215419,-0.297347638,24.81447906
1981,CHHATTISGARH,RAIGARH,876.07,90453.54513,207673.2601,876.07,0.197225659,6.069170343,25.07184636
1982,CHHATTISGARH,RAIGARH,728.3,90453.54513,207673.2601,728.3,0.208633499,10.10751104,24.96404241
1983,CHHATTISGARH,RAIGARH,964.54,90453.54513,207673.2601,964.54,0.224242323,6.735394846,23.37295051
1984,CHHATTISGARH,RAIGARH,772.24,90453.54513,207673.2601,772.24,0.213995618,7.407665784,25.18365298
1985,CHHATTISGARH,RAIGARH,963.61,90453.54513,207673.2601,963.61,0.20257537,11.67029724,25.13107559
1986,CHHATTISGARH,RAIGARH,841.84,90453.54513,207673.2601,841.84,0.20619978,2.265459809,24.54934319
1987,CHHATTISGARH,RAIGARH,816.33,90453.54513,207673.2601,816.33,0.220148795,4.861292172,23.74339624
1988,CHHATTISGARH,RAIGARH,1014.24,90453.54513,207673.2601,1014.24,0.206049151,14.13417016,24.85173662
1989,CHHATTISGARH,RAIGARH,902.68,90453.54513,207673.2601,902.68,0.215517403,4.977086989,24.89383001
1990,CHHATTISGARH,RAIGARH,964.36,90453.54513,207673.2601,964.36,0.213808536,-0.375542225,24.51025787
1991,CHHATTISGARH,RAIGARH,1106.46,90453.54513,207673.2601,1106.46,0.206836814,2.614362124,24.82384947
1992,CHHATTISGARH,RAIGARH,1054.84,90453.54513,207673.2601,1054.84,0.234792258,1.270243349,25.26641974
1993,CHHATTISGARH,RAIGARH,1229.72,90453.54513,207673.2601,1229.72,0.219692008,7.746955533,25.92926047
1994,CHHATTISGARH,RAIGARH,1337.46,90453.54513,207673.2601,1337.46,0.193101391,1.481407587,24.80395144
1995,CHHATTISGARH,RAIGARH,1034.52,90453.54513,207673.2601,1034.52,0.21521736,7.316313869,24.89745645
1996,CHHATTISGARH,RAIGARH,1287.35,90453.54513,207673.2601,1287.35,0.206734953,2.280816512,24.31860517
1997,CHHATTISGARH,RAIGARH,816.3,90453.54513,207673.2601,816.3,0.221877151,-4.655750087,24.47980358
1998,CHHATTISGARH,RAIGARH,1115.76,90453.54513,207673.2601,1115.76,0.20542761,7.49424154,24.66247829
1999,CHHATTISGARH,RAIGARH,1131.18,90453.54513,207673.2601,1131.18,0.212205453,6.703461013,25.31935863
2000,CHHATTISGARH,RAIGARH,564.73,241943,116886,0.483113791,0.21840269,8.549931683,25.13997849
2001,CHHATTISGARH,RAIGARH,1252.02,241432,305358,1.264778488,0.222010369,2.596206509,25.69517628
